Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CLO:0000853	IAO:0000115	An immortal vasculature-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0037232	IAO:0000115	An immortal vasculature-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0000021	IAO:0000115	An immortal skin-derived cell line cell that derives from cat.	
ERROR	duplicate_definition	CLO:0000467	IAO:0000115	An immortal skin-derived cell line cell that derives from cat.	
ERROR	duplicate_definition	CLO:0000551	IAO:0000115	An immortal pancreas-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0037235	IAO:0000115	An immortal pancreas-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0000587	IAO:0000115	An immortal kidney-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0037236	IAO:0000115	An immortal kidney-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0000560	IAO:0000115	An immortal bone element-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0037233	IAO:0000115	An immortal bone element-derived cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0000652	IAO:0000115	An immortal B cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0000933	IAO:0000115	An immortal B cell line cell that derives from human.	
ERROR	duplicate_definition	CLO:0050521	IAO:0000115	A mouse x rat hybridoma cell line cell that has the characteristics: Hybridoma producing monoclonal antibody against GFP. Rat IgG2a monoclonal antibody.	
ERROR	duplicate_definition	CLO:0050522	IAO:0000115	A mouse x rat hybridoma cell line cell that has the characteristics: Hybridoma producing monoclonal antibody against GFP. Rat IgG2a monoclonal antibody.	
ERROR	duplicate_definition	CLO:0050524	IAO:0000115	A mouse x rat hybridoma cell line cell that has the characteristics: Hybridoma producing monoclonal antibody against GFP. Rat IgG2a monoclonal antibody.	
ERROR	duplicate_definition	CLO:0050312	IAO:0000115	A mouse x mouse hybridoma cell line cell that has the characteristics: MoAb to Clostridium perfringens alpha-toxin (phospholipase C).	
ERROR	duplicate_definition	CLO:0050313	IAO:0000115	A mouse x mouse hybridoma cell line cell that has the characteristics: MoAb to Clostridium perfringens alpha-toxin (phospholipase C).	
ERROR	duplicate_definition	CLO:0050344	IAO:0000115	A mouse x mouse hybridoma cell line cell that has the characteristics: MoAb to Clostridium perfringens alpha-toxin (phospholipase C).	
