?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0003644>	<http://www.w3.org/2000/01/rdf-schema#label>	"HCC1806 cell"	
<http://purl.obolibrary.org/obo/CLO_0000578>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human breast-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human peripheral vein-derived B cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003468>	<http://www.w3.org/2000/01/rdf-schema#label>	"GE86 cell"	
<http://purl.obolibrary.org/obo/CLO_0000468>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human lymphocyte cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"adherent cell line culturing"	
<http://purl.obolibrary.org/obo/CLO_0002211>	<http://www.w3.org/2000/01/rdf-schema#label>	"C-B94 cell"	
<http://purl.obolibrary.org/obo/CLO_0000466>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human amnion-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002035>	<http://www.w3.org/2000/01/rdf-schema#label>	"BSC1 cell"	
<http://purl.obolibrary.org/obo/CLO_0000533>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal vervet monkey kidney-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000181>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal organism part-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051281>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0174 cell"	
<http://purl.obolibrary.org/obo/CLO_0000652>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human B cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000910>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human aorta-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000316>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal aorta-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003519>	<http://www.w3.org/2000/01/rdf-schema#label>	"GM01229 cell"	
<http://purl.obolibrary.org/obo/CLO_0000438>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human skin-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000734>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human ovary-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000187>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal animal ovary-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051332>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0181 cell"	
<http://purl.obolibrary.org/obo/CLO_0051156>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0120 cell"	
<http://purl.obolibrary.org/obo/CLO_0008672>	<http://www.w3.org/2000/01/rdf-schema#label>	"PX92 cell"	
<http://purl.obolibrary.org/obo/CLO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000475>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal dog abdominal cavity-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0008496>	<http://www.w3.org/2000/01/rdf-schema#label>	"PS 67 cell"	
<http://purl.obolibrary.org/obo/CLO_0000395>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human arm-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human organism part-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007063>	<http://www.w3.org/2000/01/rdf-schema#label>	"K66 cell"	
<http://purl.obolibrary.org/obo/CLO_0051207>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0330 cell"	
<http://purl.obolibrary.org/obo/CLO_0008723>	<http://www.w3.org/2000/01/rdf-schema#label>	"R9 cell"	
<http://purl.obolibrary.org/obo/CLO_0000561>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rat cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0008547>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-EDS547 cell"	
<http://purl.obolibrary.org/obo/CLO_0005762>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF069/93 cell"	
<http://purl.obolibrary.org/obo/CLO_0005586>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF059/76 cell"	
<http://purl.obolibrary.org/obo/CLO_0007114>	<http://www.w3.org/2000/01/rdf-schema#label>	"KMOE-2 cell"	
<http://purl.obolibrary.org/obo/CLO_0000523>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human peripheral neuron cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004153>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 846.Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0005813>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF073/76 cell"	
<http://purl.obolibrary.org/obo/CLO_0001192>	<http://www.w3.org/2000/01/rdf-schema#label>	"20C2 cell"	
<http://purl.obolibrary.org/obo/CLO_0005637>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF061/97 cell"	
<http://purl.obolibrary.org/obo/CLO_0002852>	<http://www.w3.org/2000/01/rdf-schema#label>	"E. Derm (NBL-6) cell"	
<http://purl.obolibrary.org/obo/CLO_0000960>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal horse septum of telencephalon-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"suspension cell line culturing"	
<http://purl.obolibrary.org/obo/CLO_0002676>	<http://www.w3.org/2000/01/rdf-schema#label>	"D3-2H2-9-21 cell"	
<http://purl.obolibrary.org/obo/CLO_0004204>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 899(B).T cell"	
<http://purl.obolibrary.org/obo/CLO_0004028>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 617.Mg cell"	
<http://purl.obolibrary.org/obo/CLO_0000511>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001243>	<http://www.w3.org/2000/01/rdf-schema#label>	"2B5 cell"	
<http://purl.obolibrary.org/obo/CLO_0002903>	<http://www.w3.org/2000/01/rdf-schema#label>	"EIAV 12E8.1 cell"	
<http://purl.obolibrary.org/obo/CLO_0001067>	<http://www.w3.org/2000/01/rdf-schema#label>	"13.90.2 cell"	
<http://purl.obolibrary.org/obo/CLO_0000205>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal amnion-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000492>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse lymphocyte cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000108>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal lymphocyte cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002727>	<http://www.w3.org/2000/01/rdf-schema#label>	"DC96 cell"	
<http://purl.obolibrary.org/obo/CLO_0037063>	<http://www.w3.org/2000/01/rdf-schema#label>	"SU-DHL-6 cell"	
<http://purl.obolibrary.org/obo/CLO_0009181>	<http://www.w3.org/2000/01/rdf-schema#label>	"SV-T2 cell"	
<http://purl.obolibrary.org/obo/CLO_0000503>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse embryo-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050540>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2808 cell"	
<http://purl.obolibrary.org/obo/CLO_0000669>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human peripheral vein-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001118>	<http://www.w3.org/2000/01/rdf-schema#label>	"162-46.2 cell"	
<http://purl.obolibrary.org/obo/CLO_0000543>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse kidney-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000220>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal kidney-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050364>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2382 cell"	
<http://purl.obolibrary.org/obo/CLO_0000282>	<http://www.w3.org/2000/01/rdf-schema#label>	"mouse x mouse hybridoma cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0007880>	<http://www.w3.org/2000/01/rdf-schema#label>	"MSTO-211H cell"	
<http://purl.obolibrary.org/obo/CLO_0000367>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal nephron tubule-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050188>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2927 cell"	
<http://purl.obolibrary.org/obo/CLO_0000042>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0037114>	<http://www.w3.org/2000/01/rdf-schema#label>	"SUIT-2 cell"	
<http://purl.obolibrary.org/obo/CLO_0000551>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human pancreas-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0009232>	<http://www.w3.org/2000/01/rdf-schema#label>	"SWR/J.We cell"	
<http://purl.obolibrary.org/obo/CLO_0000474>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal dog lung-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0009056>	<http://www.w3.org/2000/01/rdf-schema#label>	"SK-N-F1 cell"	
<http://purl.obolibrary.org/obo/CLO_0006271>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF113/83 cell"	
