ID,Type,Parent,Parent label,Equivalent Class,alternative term,definition,definition source,term editor,derived from organism,derived from organism ID,derived from anatomic part,derived from anatomic part ID,derived from cell,derived from cell ID,derived from cell line cell,derived from cell line cell ID,derives from patient having disease,derives from patient having disease ID,is disease model for,cell line culturing,is_specified_output_of,is in cell line repository,Creation Date,editor note,comment,term tracker item,LINCS ID,seeAlso
ID,LABEL,C %,,EC %,A alternative label SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,,C 'derives from organism' some % SPLIT=|,,C 'derives from anatomic part' some % SPLIT=|,,C 'derives from cell' some % SPLIT=|,,C 'derives from cell line cell' some % SPLIT=|,,C 'derives from patient having disease' some % SPLIT=|,C 'is disease model for' some % SPLIT=|,C 'is specified input of' some % SPLIT=|,C 'is specified output of' some % SPLIT=|,C 'is in cell line repository' some % SPLIT=|,AT dcterms:date^^xsd:dateTime,A editor note SPLIT=|,A rdfs:comment SPLIT=|,AI term tracker item SPLIT=|,A LINCS ID,A rdfs:seeAlsoSPLIT=|
CLO:0002708,Daudi cell,CLO:0000652,immortal human B cell line cell,,Daudi|DAUDI|NK-10A|NK-10a|NK 10a|NK10a|N|GM03190|GM3190|GM03190A|GM17346,An immortal human B cell line cell originating from the blood of a male human with Burkitt lymphoma.,,Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,Burkitt lymphoma,http://purl.obolibrary.org/obo/DOID_8584,,suspension cell line culturing,,,,,,https://github.com/CLO-ontology/CLO/issues/114,LCL-2018,ATCC:CCL-213|CHEMBL:CHEMBL3307579|RRID:CVCL_0008|EFO:EFO_0002169|HyperCLDB:cl995
CLO:0002805,DOHH2 cell,CLO:0000652,immortal human B cell line cell,,DOHH2|DoHH-2|DOHH-2,An immortal human B cell line cell originating from the pleural effusion of a Caucasian male with diffuse large B-cell lymphoma.,,Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,pleural effusion,http://purl.obolibrary.org/obo/UBERON_0000175,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,diffuse large B-cell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,HyperCLDB:cl1086|HyperCLDB:cl4974|RRID:CVCL_1179
CLO:0010594,GM08600 cell,CLO:0000374,immortal human peripheral vein-derived B cell line cell,,GM08600|31227 ABO|ABUC|ABU|WT9,An immortal human peripheral vein-derived B cell line cell originating from the blood of humans and tranformed with Epstein-Barr virus (EBV).,,Chao Pang|Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,,,,,,,,, HLA HISTOCOMPATIBILITY TYPE: 142800 THROUGH 142860 & 142880,https://github.com/CLO-ontology/CLO/issues/114,,OMIM:142800|RRID:CVCL_E443
CLO:0037256,HBL-1 cell,CLO:0000652,immortal human B cell line cell,,HBL1,An immortal human B cell line cell originating from the pleural effusion of a Japanese male with diffuse large B-cell lymphoma.,http://purl.obolibrary.org/obo/BTO_0002522|https://www.cellosaurus.org/CVCL_4213,Yongqun He|Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,pleural effusion,http://purl.obolibrary.org/obo/UBERON_0000175,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,diffuse large B-cell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,BTO:BTO_0002522|RRID:CVCL_4213
CLO:0003787,HMy2.CIR cell,CLO:0000652,immortal human B cell line cell,,HMy2.CIR|Hmy.2 CIR|C1R,An immortal human B cell line cell that derives from some B cell from a human blood sample.,https://www.cellosaurus.org/CVCL_3714,Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,,,,suspension cell line culturing,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,ATCC:CRL-1993|RRID:CVCL_3714
CLO:0051333,HSC0107 cell,CLO:0000652,immortal human B cell line cell,,COLO205|HSC0107,An immortal human B cell line cell that has the characteristics: Human B lymphocytes transformed by Epstein-Barr Virus. This B cell lines derived from Mongoloid Minority Groups in South America.,,RIKEN Cell bank Team|Yongqun He,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,,,,,,,,,"Register: Danjoh, Inaho",https://github.com/CLO-ontology/CLO/issues/114,,RRID:CVCL_F402
CLO:0037202,JY cell,CLO:0000652,immortal human B cell line cell,,,An immortal human B cell line cell originating from the blood of humans.,https://www.cellosaurus.org/CVCL_0108,Yongqun He|Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,,,,,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,RRID:CVCL_0108
CLO:0007050,K 562 cell,CLO:0000652,immortal human B cell line cell,,GM05372|GM05372E|K 562|K-562|K.562|K562|KO,An immortal human B cell line cell originating from the bone marrow of humans with chronic myeloid leukemia.,https://www.cellosaurus.org/CVCL_0004,Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,chronic myeloid leukemia,http://purl.obolibrary.org/obo/DOID_8552,,,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,HyperCLDB:cl2969|RRID:CVCL_0004
CLO:0037203,MM.1S cell,CLO:0000652,immortal human B cell line cell,,MM.1S|MM1-S|MM-1S|MM1S,An immortal human B cell line cell originating from the blood of humans with multiple myeloma.,https://www.cellosaurus.org/CVCL_8792,Yongqun He|Randi Vita,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,blood,http://purl.obolibrary.org/obo/UBERON_0000178,B cell,http://purl.obolibrary.org/obo/CL_0000236,,,,,,,,,,,,https://github.com/CLO-ontology/CLO/issues/114,,RRID:CVCL_8792
