class1(cell)	parent_class_of_class1	label_of_class1	class2(cell_line)	parent_class_of_class2	label_of_class2
http://purl.obolibrary.org/obo/CL_0000034	http://purl.obolibrary.org/obo/CL_0000003	stem cell	http://purl.obolibrary.org/obo/CLO_0000044	http://purl.obolibrary.org/obo/CLO_0000001	stem cell line
http://purl.obolibrary.org/obo/CL_0000723	http://purl.obolibrary.org/obo/CL_0000034	somatic stem cell	http://purl.obolibrary.org/obo/CLO_0000047	http://purl.obolibrary.org/obo/CLO_0000044	somatic stem cell line
http://purl.obolibrary.org/obo/CL_0000036	http://purl.obolibrary.org/obo/CL_0000723	epithelial fate stem cell	http://purl.obolibrary.org/obo/CLO_0000048	http://purl.obolibrary.org/obo/CLO_0000047	epithelial fate stem cell line
http://purl.obolibrary.org/obo/CL_0000646	http://purl.obolibrary.org/obo/CL_0000036	basal cell	http://purl.obolibrary.org/obo/CLO_0000049	http://purl.obolibrary.org/obo/CLO_0000048	basal cell line
http://purl.obolibrary.org/obo/CL_0000048	http://purl.obolibrary.org/obo/CL_0000723	multi fate stem cell	http://purl.obolibrary.org/obo/CLO_0000050	http://purl.obolibrary.org/obo/CLO_0000047	multi fate stem cell line
http://purl.obolibrary.org/obo/CL_0000047	http://purl.obolibrary.org/obo/CL_0000048	neuronal stem cell	http://purl.obolibrary.org/obo/CLO_0000051	http://purl.obolibrary.org/obo/CLO_0000050	neuronal stem cell line
http://purl.obolibrary.org/obo/CL_0000031	http://purl.obolibrary.org/obo/CL_0000047	neuroblast	http://purl.obolibrary.org/obo/CLO_0000052	http://purl.obolibrary.org/obo/CLO_0000051	neuroblast cell line
http://purl.obolibrary.org/obo/CL_0000134	http://purl.obolibrary.org/obo/CL_0000048	mesenchymal cell	http://purl.obolibrary.org/obo/CLO_0000053	http://purl.obolibrary.org/obo/CLO_0000050	mesenchymal cell line
http://purl.obolibrary.org/obo/CL_0000055	http://purl.obolibrary.org/obo/CL_0000003	non-terminally differentiated cell	http://purl.obolibrary.org/obo/CLO_0000054	http://purl.obolibrary.org/obo/CLO_0000001	non-terminally differentiated cell line
http://purl.obolibrary.org/obo/CL_0000062	http://purl.obolibrary.org/obo/CL_0000055	osteoblast	http://purl.obolibrary.org/obo/CLO_0000055	http://purl.obolibrary.org/obo/CLO_0000054	osteoblast cell line
http://purl.obolibrary.org/obo/CL_0000680	http://purl.obolibrary.org/obo/CL_0000055	muscle precursor cell	http://purl.obolibrary.org/obo/CLO_0000056	http://purl.obolibrary.org/obo/CLO_0000054	muscle precursor cell line
http://purl.obolibrary.org/obo/CL_0000056	http://purl.obolibrary.org/obo/CL_0000680	myoblast	http://purl.obolibrary.org/obo/CLO_0000057	http://purl.obolibrary.org/obo/CLO_0000056	myoblast cell line
http://purl.obolibrary.org/obo/CL_0000621	http://purl.obolibrary.org/obo/CL_0000056	fusion competent myoblast	http://purl.obolibrary.org/obo/CLO_0000058	http://purl.obolibrary.org/obo/CLO_0000057	fusion competent myoblast cell line
http://purl.obolibrary.org/obo/CL_0000151	http://purl.obolibrary.org/obo/CL_0000003	secretory cell	http://purl.obolibrary.org/obo/CLO_0000059	http://purl.obolibrary.org/obo/CLO_0000001	secretory cell line
http://purl.obolibrary.org/obo/CL_0000150	http://purl.obolibrary.org/obo/CL_0000151	glandular epithelial cell	http://purl.obolibrary.org/obo/CLO_0000060	http://purl.obolibrary.org/obo/CLO_0000059	glandular epithelial cell line
http://purl.obolibrary.org/obo/CL_0000637	http://purl.obolibrary.org/obo/CL_0000150	chromophil cell of anterior pituitary gland	http://purl.obolibrary.org/obo/CLO_0000061	http://purl.obolibrary.org/obo/CLO_0000060	chromophil cell line of anterior pituitary gland
http://purl.obolibrary.org/obo/CL_0000476	http://purl.obolibrary.org/obo/CL_0000637	thyrotroph	http://purl.obolibrary.org/obo/CLO_0000062	http://purl.obolibrary.org/obo/CLO_0000061	thyrotroph cell line
http://purl.obolibrary.org/obo/CL_0000638	http://purl.obolibrary.org/obo/CL_0000637	acidophil cell of pars distalis of adenohypophysis	http://purl.obolibrary.org/obo/CLO_0000063	http://purl.obolibrary.org/obo/CLO_0000061	acidophil cell line of pars distalis of adenohypophysis
http://purl.obolibrary.org/obo/CL_0000651	http://purl.obolibrary.org/obo/CL_0000150	neck cell	http://purl.obolibrary.org/obo/CLO_0000064	http://purl.obolibrary.org/obo/CLO_0000060	neck cell line
http://purl.obolibrary.org/obo/CL_0002659	http://purl.obolibrary.org/obo/CL_0000150	glandular cell of stomach	http://purl.obolibrary.org/obo/CLO_0000065	http://purl.obolibrary.org/obo/CLO_0000060	glandular cell line of stomach
